SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
13365,13366,4085,NY-00130, TOWN OF HEMPSTEAD,11783,NASSAU,NY,214093,162594,51499,0,0,0,0
13365,13366,4085,NY-00130,AIRMONT,10952,ROCKLAND,NY,67275,48200,19075,0,0,0,0
13365,13366,4085,NY-00130,ALBERTSON,11507,NASSAU,NY,1183795,978760,205035,242500,0,0,242500
13365,13366,4085,NY-00130,AMITY HARBOR,11701,SUFFOLK,NY,471587,407182,64405,175300,105400,55700,14200
13365,13366,4085,NY-00130,AMITYV ILLE,11701,SUFFOLK,NY,0,0,0,18500,0,0,18500
13365,13366,4085,NY-00130,AMITYVILLE,11701,NASSAU,NY,27812,16712,11100,0,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11701,SUFFOLK,NY,4469020,3535475,933545,1916100,1107400,309100,499600
13365,13366,4085,NY-00130,AQUEBOGUE,11931,SUFFOLK,NY,66164,66164,0,66200,66200,0,0
13365,13366,4085,NY-00130,ARVERNA,11692,QUEENS,NY,43178,43178,0,0,0,0,0
13365,13366,4085,NY-00130,ARVERNE,11520,QUEENS,NY,59192,57092,2100,0,0,0,0
13365,13366,4085,NY-00130,ARVERNE,11692,QUEENS,NY,13397667,8166585,5231082,4851700,3477400,1015500,358800
13365,13366,4085,NY-00130,ASTORIA,11101,QUEENS,NY,13920,13920,0,0,0,0,0
13365,13366,4085,NY-00130,ASTORIA,11102,QUEENS,NY,515505,111031,404474,47800,0,47800,0
13365,13366,4085,NY-00130,ASTORIA,11105,QUEENS,NY,3740,0,3740,0,0,0,0
13365,13366,4085,NY-00130,ASTORIA,11106,QUEENS,NY,183325,5075,178250,37600,2200,13100,22300
13365,13366,4085,NY-00130,ATLANTIC BEACH,11509,NASSAU,NY,6053625,5338494,715131,2079500,1531400,326900,221200
13365,13366,4085,NY-00130,ATLANTIC BEACH,11561,NASSAU,NY,121236,94886,26350,0,0,0,0
13365,13366,4085,NY-00130,ATLANTIC BEACH,11509,NEW YORK,NY,2997417,2859367,138050,2000000,2000000,0,0
13365,13366,4085,NY-00130,BABYLON,11702,SUFFOLK,NY,10855041,7888119,2966922,1673200,727200,433600,512400
13365,13366,4085,NY-00130,BALDWIN,11510,NASSAU,NY,3725072,2615067,1110005,567000,409600,65400,92000
13365,13366,4085,NY-00130,BALDWIN,11710,NASSAU,NY,85750,0,85750,0,0,0,0
13365,13366,4085,NY-00130,BARDONIA,10954,ROCKLAND,NY,37795,37795,0,0,0,0,0
13365,13366,4085,NY-00130,BAY SHORE,11706,SUFFOLK,NY,5837199,4443213,1393986,653300,258600,123400,271300
13365,13366,4085,NY-00130,BAYONNE,07002,HUDSON,NJ,0,0,0,240100,0,0,240100
13365,13366,4085,NY-00130,BAYSHORE,11706,SUFFOLK,NY,345786,274209,71577,523200,214800,35500,272900
13365,13366,4085,NY-00130,BAYSIDE,11361,QUEENS,NY,18193,4568,13625,0,0,0,0
13365,13366,4085,NY-00130,BAYSIDE,11364,QUEENS,NY,18173,18173,0,0,0,0,0
13365,13366,4085,NY-00130,BAYVILLE,11709,NASSAU,NY,1560265,764461,795804,247500,209700,17500,20300
13365,13366,4085,NY-00130,BELLE HARBOR,11694,KINGS,NY,906829,855681,51148,0,0,0,0
13365,13366,4085,NY-00130,BELLE HARBOR,10314,QUEENS,NY,854105,742648,111457,999700,742700,111500,145500
13365,13366,4085,NY-00130,BELLE HARBOR,11694,QUEENS,NY,9546495,7712336,1834159,1777600,978800,473400,325400
13365,13366,4085,NY-00130,BELLEHARBOR,11694,QUEENS,NY,72544,0,72544,0,0,0,0
13365,13366,4085,NY-00130,BELLEROSE,11426,QUEENS,NY,51458,50458,1000,0,0,0,0
13365,13366,4085,NY-00130,BELLMORE,11710,NASSAU,NY,4830176,3623344,1206832,1129500,600100,163800,365600
13365,13366,4085,NY-00130,BELLPORT,11713,SUFFOLK,NY,9040,0,9040,4100,0,1600,2500
13365,13366,4085,NY-00130,BETHPAGE,11714,NASSAU,NY,978255,424530,553725,77700,0,0,77700
13365,13366,4085,NY-00130,BKLYN,11229,KINGS,NY,17725,0,17725,14000,0,14000,0
13365,13366,4085,NY-00130,BLAUVELT,10913,ROCKLAND,NY,77674,71174,6500,0,0,0,0
13365,13366,4085,NY-00130,BLOOMING GROVE,10914,ORANGE,NY,1870,0,1870,0,0,0,0
13365,13366,4085,NY-00130,BLUE POINT,11715,SUFFOLK,NY,15000,12850,2150,0,0,0,0
13365,13366,4085,NY-00130,BOHEMIA,11716,SUFFOLK,NY,0,0,0,713000,0,0,713000
13365,13366,4085,NY-00130,BOOKLYN,11224,KINGS,NY,29500,0,29500,0,0,0,0
13365,13366,4085,NY-00130,BOOKLYN,11235,KINGS,NY,171384,140826,30558,0,0,0,0
13365,13366,4085,NY-00130,BREEZY POINT,11697,QUEENS,NY,7247631,6253233,994398,380600,169300,178400,32900
13365,13366,4085,NY-00130,BRENTWOOD,11717,SUFFOLK,NY,554542,481915,72627,293300,6100,30500,256700
13365,13366,4085,NY-00130,BREWSTER,10509,PUTNAM,NY,50405,0,50405,0,0,0,0
13365,13366,4085,NY-00130,BRIGHTWATERS,11718,SUFFOLK,NY,0,0,0,18200,0,0,18200
13365,13366,4085,NY-00130,BROAD CHANNEL,11693,QUEENS,NY,6820349,4754298,2066051,1540700,1321800,168600,50300
13365,13366,4085,NY-00130,BROAD CHANNEL,11694,QUEENS,NY,107251,88201,19050,107300,88300,19000,0
13365,13366,4085,NY-00130,BRONX,10451,BRONX,NY,407180,342867,64313,99100,12100,51900,35100
13365,13366,4085,NY-00130,BRONX,10452,BRONX,NY,86591,86591,0,0,0,0,0
13365,13366,4085,NY-00130,BRONX,10454,BRONX,NY,282267,197159,85108,68700,8700,3100,56900
13365,13366,4085,NY-00130,BRONX,10456,BRONX,NY,86330,69470,16860,0,0,0,0
13365,13366,4085,NY-00130,BRONX,10457,BRONX,NY,168416,168416,0,0,0,0,0
13365,13366,4085,NY-00130,BRONX,10458,BRONX,NY,231325,20070,211255,157600,0,0,157600
13365,13366,4085,NY-00130,BRONX,10459,BRONX,NY,254850,254850,0,0,0,0,0
13365,13366,4085,NY-00130,BRONX,10460,BRONX,NY,10528421,10184225,344196,29800,29800,0,0
13365,13366,4085,NY-00130,BRONX,10461,BRONX,NY,56386,0,56386,101400,0,21800,79600
