SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
13365,13366,4085,NY-00130,ADDISLEIGH PARK,11434,QUEENS,NY,10925,0,10925,11000,0,11000
13365,13366,4085,NY-00130,AIRMONT,10952,ROCKLAND,NY,268858,235885,32973,31300,28400,2900
13365,13366,4085,NY-00130,ALBERTSON,11507,NASSAU,NY,25423,24923,500,18100,17600,500
13365,13366,4085,NY-00130,AMAGANSETT,11930,SUFFOLK,NY,136258,116573,19685,62500,53400,9100
13365,13366,4085,NY-00130,AMITY HARBOR,11701,SUFFOLK,NY,10894475,7817121,3077354,5192800,3231300,1824600
13365,13366,4085,NY-00130,AMITY HARBOUR,11701,SUFFOLK,NY,72794,49899,22895,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11701,NASSAU,NY,103817,84057,19760,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11701,SUFFOLK,NY,65139834,48089540,17050294,28968000,20031700,8813300
13365,13366,4085,NY-00130,AMITYVILLE,11701,SULLIVAN,NY,525,0,525,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11726,SUFFOLK,NY,184273,138773,45500,0,0,0
13365,13366,4085,NY-00130,AMITYVILLE,11735,SUFFOLK,NY,252658,191708,60950,186900,146900,40000
13365,13366,4085,NY-00130,AMITYVILLE,11803,SUFFOLK,NY,101728,66776,34952,0,0,0
13365,13366,4085,NY-00130,AMITYVYLLE,11701,SUFFOLK,NY,94659,58859,35800,0,0,0
13365,13366,4085,NY-00130,AQUEBOGUE,11901,SUFFOLK,NY,163717,126277,37440,88100,50700,37400
13365,13366,4085,NY-00130,AQUEBOGUE,11931,SUFFOLK,NY,336548,281478,55070,193700,165200,28500
13365,13366,4085,NY-00130,ARDSLEY,10502,WESTCHESTER,NY,16619,14819,1800,0,0,0
13365,13366,4085,NY-00130,AREVRNE,11692,QUEENS,NY,103726,66626,37100,0,0,0
13365,13366,4085,NY-00130,ARMONK,10504,WESTCHESTER,NY,343399,333049,10350,116700,115300,1400
13365,13366,4085,NY-00130,ARVERNE,11212,NEW YORK,NY,21775,0,21775,0,0,0
13365,13366,4085,NY-00130,ARVERNE,11230,QUEENS,NY,54183,36433,17750,0,0,0
13365,13366,4085,NY-00130,ARVERNE,11691,QUEENS,NY,336444,171179,165265,0,0,0
13365,13366,4085,NY-00130,ARVERNE,11692,NEW YORK,NY,271784,99609,172175,112700,39000,73700
13365,13366,4085,NY-00130,ARVERNE,11692,QUEENS,NY,35906418,21681591,14224827,11211400,6277600,4933800
13365,13366,4085,NY-00130,ARVERNE,11693,QUEENS,NY,52525,0,52525,20000,0,20000
13365,13366,4085,NY-00130,ARVERNE,11699,QUEENS,NY,114149,78889,35260,0,0,0
13365,13366,4085,NY-00130,ARVERNE,11962,QUEENS,NY,66815,56115,10700,28000,17300,10700
13365,13366,4085,NY-00130,ARVERNE QUEENS,11692,QUEENS,NY,93234,51609,41625,0,0,0
13365,13366,4085,NY-00130,ASHAROKEN,11768,SUFFOLK,NY,217779,111754,106025,117600,77600,40000
13365,13366,4085,NY-00130,ASTORIA,11102,NEW YORK,NY,6775,0,6775,6800,0,6800
13365,13366,4085,NY-00130,ASTORIA,11102,QUEENS,NY,85165,64978,20187,11100,0,11100
13365,13366,4085,NY-00130,ASTORIA,11103,QUEENS,NY,27937,27937,0,11200,11200,0
13365,13366,4085,NY-00130,ASTORIA,11103,RICHMOND,NY,6300,0,6300,0,0,0
13365,13366,4085,NY-00130,ASTORIA,11105,QUEENS,NY,21979,16479,5500,11300,9600,1700
13365,13366,4085,NY-00130,ASTORIA,11106,QUEENS,NY,26055,0,26055,1100,0,1100
13365,13366,4085,NY-00130,ATLANTIC BEACH,11509,NASSAU,NY,11427376,7837774,3589602,4086200,2783400,1302800
13365,13366,4085,NY-00130,AVERENE,11692,QUEENS,NY,76346,47046,29300,0,0,0
13365,13366,4085,NY-00130,AVERNE,11692,KINGS,NY,3000,0,3000,0,0,0
13365,13366,4085,NY-00130,AVERNE,11692,QUEENS,NY,135839,85789,50050,14000,0,14000
13365,13366,4085,NY-00130,BABLYLON,11702,SUFFOLK,NY,14125,1500,12625,0,0,0
13365,13366,4085,NY-00130,BABYLON,11701,SUFFOLK,NY,98759,71959,26800,0,0,0
13365,13366,4085,NY-00130,BABYLON,11702,SUFFOLK,NY,69002957,51742867,17260090,31856200,22710300,8998800
13365,13366,4085,NY-00130,BABYLON VILLAGE,11702,SUFFOLK,NY,110087,77562,32525,110100,77600,32500
13365,13366,4085,NY-00130,BALDWIN,11510,NASSAU,NY,55142032,39478226,15663806,21336700,14703200,6627800
13365,13366,4085,NY-00130,BALDWIN,11510,NEW YORK,NY,188448,145948,42500,94100,70300,23800
13365,13366,4085,NY-00130,BALDWIN,11520,NASSAU,NY,4300,0,4300,0,0,0
13365,13366,4085,NY-00130,BALDWIN,11572,NASSAU,NY,16100,0,16100,16100,0,16100
13365,13366,4085,NY-00130,BALDWIN HARBOR,11510,NASSAU,NY,2914280,2134984,779296,1235000,909900,325100
13365,13366,4085,NY-00130,BALDWIN HARBOUR,11510,NASSAU,NY,52159,29334,22825,0,0,0
13365,13366,4085,NY-00130,BALDWIN PLACE,10505,WESTCHESTER,NY,52656,49156,3500,37700,34200,3500
13365,13366,4085,NY-00130,BAY SHORE,11702,SUFFOLK,NY,152724,121174,31550,0,0,0
13365,13366,4085,NY-00130,BAY SHORE,11706,SUFFOLK,NY,10982571,8892996,2089575,4178800,3163700,1015100
13365,13366,4085,NY-00130,BAYPORT,11705,SUFFOLK,NY,3739216,3221496,517720,1769600,1521700,247900
13365,13366,4085,NY-00130,BAYSHORE,11706,SUFFOLK,NY,620606,517701,102905,66800,52000,14800
13365,13366,4085,NY-00130,BAYSIDE,11360,NEW YORK,NY,6065,5665,400,3700,3300,400
13365,13366,4085,NY-00130,BAYSIDE,11360,QUEENS,NY,15822,15822,0,11400,11400,0
13365,13366,4085,NY-00130,BAYSIDE,11361,NEW YORK,NY,21564,21564,0,21600,21600,0
13365,13366,4085,NY-00130,BAYSIDE,11361,QUEENS,NY,57796,15641,42155,19200,14000,5200
